"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",2,11,"E2-877","22",11.99,22.16,243.76
"2",2,10,"E2-887","22",12.19,20.64,206.4
"3",2,6,"E2-906","6E",13.25,23.08,138.48
"4",3,5,"E2-703","6E",13.25,22.82,114.1
"5",1,4,"E2-610","1M",40,47.4,189.6
"6",3,4,"E2-877","22",11.99,20.43,81.72
"7",1,3,"E2-284","2",23.46,31.47,94.41
"8",2,3,"E2-701","6E",13.25,22.72,68.16
"9",1,3,"E2-736","6E",15,39.68,119.04
"10",1,3,"E2-767","2",15.6,30.18,90.54
"11",1,3,"E2-906","6E",13.25,23.43,70.29
"12",1,3,"E2-907","6E",13.91,38.7457,116.2371
"13",1,3,"E2-908","6E",13.91,21.1397,63.4191
"14",1,2,"E2-283","2",14.57,24.5,49
"15",1,2,"E2-388","2",12.67,22.6,45.2
