"","# of RMAs","Qty","LED","Product_Family"
"1",3,62,"LED-203-35","NANO/MINI"
"2",3,36,"LED-203-27-HI","NANO/MINI"
"3",4,28,"LED-307-S00-30","BEVELED PRIMARY"
"4",2,27,"LED-326-S00-30","BEVELED 2.2"
"5",1,17,"LED-230-H02-27","BEVELED 2.0"
"6",5,14,"LED-203-30","NANO/MINI"
"7",2,14,"LED-203-40","NANO/MINI"
"8",3,12,"LED-240-S00-35","BEVELED 2.1"
"9",2,11,"LED-240-S00-27","BEVELED 2.1"
"10",1,10,"LED-204-S00-2722","BEVELED WGD"
"11",3,9,"LED-240-S00-30","BEVELED 2.1"
"12",1,8,"LED-273-S00-RGB30","BEVELED 2.1"
"13",2,7,"LED-240-S00-40","BEVELED 2.1"
"14",2,4,"LED-212-S00-6022","BEVELED 2.1"
"15",2,4,"LED-240-H00-27","BEVELED 2.1"
"16",1,3,"LED-203-30-HI","NANO/MINI"
"17",1,3,"LED-204-H00-3022","BEVELED WGD"
"18",2,2,"LED-213-S00-35","BEVELED BASIC"
"19",1,2,"LED-307-H00-30","BEVELED PRIMARY"
"20",1,2,"LED-313-H00-3022","BEVELED MINI WGD"
"21",1,1,"LED-239-S00-30","BEVELED 2.2"
"22",1,1,"LED-240-H01-40","BEVELED 2.1"
"23",1,1,"LED-307-S00-35","BEVELED PRIMARY"
"24",1,1,"LED-319-S00-30","BEVELED MINI"
"25",1,1,"LED-397-S00-6022",NA
