"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",1,13,"E2-877","22",11.99,22.16,288.08
"2",4,12,"E2-906","6E",13.25,23.49,281.88
"3",4,10,"E2-887","22",12.19,20.64,206.4
"4",1,10,"E2-887","22",12.19,22.41,224.1
"5",1,5,"E2-283","2",14.57,21.14,105.7
"6",1,5,"E2-454","3",45.39,51.68,258.4
"7",1,5,"E2-454","3",45.39,51.85,259.25
"8",1,5,"E2-468","3",45.39,51.85,259.25
"9",1,5,"E2-721","19",18.96,25.27,126.35
"10",1,5,"E2-885","4E",35.19,40.82,204.1
"11",1,5,"E2-891","4E",35.19,42.3,211.5
"12",2,5,"E2-906","6E",13.25,24.04,120.2
"13",1,5,"E2-906","6F",13.25,23.49,117.45
"14",3,4,"E2-404","2",12.3,17.95,71.8
"15",1,4,"E2-736","6E",15.75,59.1174,236.4696
"16",1,4,"E2-887","22",12.19,16.13,64.52
"17",1,4,"E2-906","6E",13.25,24.84,99.36
"18",1,3,"E2-406","10",18.5538,22.5482,67.6446
"19",1,3,"E2-454","3",45.39,54.34,163.02
"20",1,2,"E2-404","2",12.3,18.11,36.22
"21",2,2,"E2-703","6E",13.25,22.82,45.64
"22",2,2,"E2-877","22",11.99,21.56,43.12
"23",1,2,"E2-983","22",11.7693,22.1543,44.3086
"24",1,1,"E2-283","2",14.57,28.69,28.69
"25",1,1,"E2-455","4",66.3,92.9056,92.9056
"26",1,1,"E2-516","6A",23,30.19,30.19
"27",1,1,"E2-721","19",18.96,29.01,29.01
"28",1,1,"E2-786","6E",13.25,22.96,22.96
"29",1,1,"E2-901","6A",24.15,33.433,33.433
"30",1,1,"E2-906","6E",13.25,23.35,23.35
"31",1,1,"E2-906","6E",13.25,23.43,23.43
"32",1,1,"E2-925","4P",51,61.3829,61.3829
"33",1,1,"E2-963","6E",14.17,21.5332,21.5332
"34",1,1,"E2-989","28",25.99,36.1252,36.1252
